,Home_wins,Home_losses,Home_OT,Away_wins,Away_losses,Away_OT,Home_goals,Home_pim,Home_shots,Home_powerPlayPercentage,Home_powerPlayGoals,Home_powerPlayOpportunities,Home_faceOffWinPercentage,Home_blocked,Home_takeaways,Home_giveaways,Home_hits,Away_goals,Away_pim,Away_shots,Away_powerPlayPercentage,Away_powerPlayGoals,Away_powerPlayOpportunities,Away_faceOffWinPercentage,Away_blocked,Away_takeaways,Away_giveaways,Away_hits,Win_Diff,Loss_Diff,OT_Diff,Goals_Diff,Shots_Diff,Blocked_Diff,PIM_Diff,PowerPlayGoals_Diff,Takeaways_Diff,Giveaways_Diff,Hits_Diff,Winner_binary
2019020663,24,13,4,23,15,4,0,2,9,0.0,0.0,2.0,0.35700000000000004,4,4,1,5,1,4,7,0.0,0.0,1.0,0.643,4,1,1,7,1,-2,0,-1,2,0,-2,0.0,3,0,-2,0.0
2019020664,22,15,5,24,16,4,0,0,14,0.0,0.0,1.0,0.593,2,4,4,9,0,2,11,0.0,0.0,0.0,0.40700000000000003,5,3,2,16,-2,-1,1,0,3,-3,-2,0.0,1,2,-7,1.0
2019020665,15,20,6,26,12,3,1,0,8,0.0,0.0,0.0,0.5329999999999999,1,3,3,11,2,0,11,0.0,0.0,0.0,0.467,5,6,1,10,-11,8,3,-1,-3,-4,0,0.0,-3,2,1,1.0
2019020667,29,9,5,16,21,5,0,0,13,0.0,0.0,0.0,0.409,2,4,5,11,1,0,8,0.0,0.0,0.0,0.591,3,3,6,8,13,-12,0,-1,5,-1,0,0.0,1,-1,3,0.0
2019020668,24,16,2,22,15,5,2,2,16,0.0,0.0,0.0,0.429,1,4,7,9,2,0,8,0.0,0.0,1.0,0.5710000000000001,5,0,5,15,2,1,-3,0,8,-4,2,0.0,4,2,-6,0.0
2019020666,19,18,4,25,14,4,2,7,11,0.5,1.0,2.0,0.615,4,5,2,9,2,19,9,0.0,0.0,1.0,0.385,5,0,3,7,-6,4,0,0,2,-1,-12,1.0,5,-1,2,0.0
2019020669,10,30,3,18,18,7,0,2,12,0.0,0.0,3.0,0.45,8,1,5,6,1,6,6,0.0,0.0,1.0,0.55,6,2,2,9,-8,12,-4,-1,6,2,-4,0.0,-1,3,-3,0.0
2019020670,26,10,7,19,21,4,0,0,10,0.0,0.0,1.0,0.5,4,2,6,7,0,2,5,0.0,0.0,0.0,0.5,5,2,3,11,7,-11,3,0,5,-1,-2,0.0,0,3,-4,0.0
2019020671,19,15,7,24,8,11,0,2,8,0.0,0.0,1.0,0.47100000000000003,1,4,3,8,1,4,13,0.0,0.0,0.0,0.529,3,4,2,2,-5,7,-4,-1,-5,-2,-2,0.0,0,1,6,1.0
2019020672,19,18,6,22,17,5,1,0,14,0.0,0.0,1.0,0.556,7,6,5,3,0,2,6,0.0,0.0,0.0,0.444,5,3,4,14,-3,1,1,1,8,2,-2,0.0,3,1,-11,1.0
2019020673,24,15,6,25,12,5,0,0,13,0.0,0.0,1.0,0.409,1,4,3,13,2,2,8,0.0,0.0,0.0,0.591,5,1,1,8,-1,3,1,-2,5,-4,-2,0.0,3,2,5,1.0
2019020674,17,20,5,20,15,8,1,0,15,0.0,0.0,1.0,0.5,1,2,2,11,1,2,8,0.0,0.0,0.0,0.5,5,2,3,7,-3,5,-3,0,7,-4,-2,0.0,0,-1,4,1.0
